id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Maple Roads,folk,relaxed,0.31,68,0.78,0.44,0.95
12,Concrete Jungle,ByteKing,hip-hop,intense,0.88,96,0.55,0.91,0.08
13,Rainy Season,The Still,r&b,moody,0.50,85,0.43,0.65,0.48
14,Cathedral Echo,Aria Voss,classical,focused,0.22,72,0.66,0.29,0.98
15,Sunset Boulevard,Coral Drive,indie pop,happy,0.68,112,0.88,0.74,0.30
16,Ironclad,Shatter Point,metal,intense,0.97,175,0.32,0.55,0.04
17,Sunday Slow Dance,Mellow Tide,r&b,relaxed,0.44,76,0.80,0.67,0.62
18,Neon Cascade,Prism Circuit,electronic,moody,0.83,128,0.46,0.87,0.07
